Location,Current_Date,HCHO_reading,LATITUDE,LONGITUDE,ELEVATION,Precipitation,Average_Temperature
Nuwara Eliya Proper,2022-05-25,0.00010586044583482786,6.967,80.767,1880.0,0.19,63
Nuwara Eliya Proper,2022-05-26,0.00010586044583482786,6.967,80.767,1880.0,0.0,61
Nuwara Eliya Proper,2022-05-27,0.00010586044583482786,6.967,80.767,1880.0,0.04,61
Nuwara Eliya Proper,2022-05-28,1.745153469660295e-05,6.967,80.767,1880.0,0.01,61
Nuwara Eliya Proper,2022-05-29,0.00011783659797902991,6.967,80.767,1880.0,0.18,60
Nuwara Eliya Proper,2022-05-30,0.00011783659797902991,6.967,80.767,1880.0,0.22,61
Nuwara Eliya Proper,2022-05-31,0.00011783659797902991,6.967,80.767,1880.0,0.63,59
Nuwara Eliya Proper,2022-06-01,0.00011783659797902991,6.967,80.767,1880.0,0.42,60
Nuwara Eliya Proper,2022-06-02,0.00011783659797902991,6.967,80.767,1880.0,0.03,61
Nuwara Eliya Proper,2022-06-03,0.00011783659797902991,6.967,80.767,1880.0,0.15,61
Nuwara Eliya Proper,2022-06-04,1.6691337080007278e-05,6.967,80.767,1880.0,0.0,63
Nuwara Eliya Proper,2022-06-05,1.6691337080007278e-05,6.967,80.767,1880.0,0.0,63
Nuwara Eliya Proper,2022-06-06,1.6691337080007278e-05,6.967,80.767,1880.0,0.0,61
Nuwara Eliya Proper,2022-06-07,-2.035574469468551e-05,6.967,80.767,1880.0,0.03,60
Nuwara Eliya Proper,2022-06-08,-2.035574469468551e-05,6.967,80.767,1880.0,0.0,62
Nuwara Eliya Proper,2022-06-09,5.1724889270890576e-05,6.967,80.767,1880.0,0.01,62
Nuwara Eliya Proper,2022-06-10,5.1724889270890576e-05,6.967,80.767,1880.0,0.0,63
Nuwara Eliya Proper,2022-06-11,0.00012709824610827218,6.967,80.767,1880.0,0.0,61
Nuwara Eliya Proper,2022-06-12,0.00012709824610827218,6.967,80.767,1880.0,0.0,62
Nuwara Eliya Proper,2022-06-13,6.212188842521035e-06,6.967,80.767,1880.0,0.0,62
Nuwara Eliya Proper,2022-06-14,0.00018874678198111002,6.967,80.767,1880.0,0.0,63
Nuwara Eliya Proper,2022-06-15,7.258368100533054e-05,6.967,80.767,1880.0,0.24,60
Nuwara Eliya Proper,2022-06-16,7.258368100533054e-05,6.967,80.767,1880.0,0.13,61
Nuwara Eliya Proper,2022-06-17,7.258368100533054e-05,6.967,80.767,1880.0,0.2,62
Nuwara Eliya Proper,2022-06-18,7.258368100533054e-05,6.967,80.767,1880.0,0.0,62
Nuwara Eliya Proper,2022-06-19,0.00012835430190293458,6.967,80.767,1880.0,0.03,61
Nuwara Eliya Proper,2022-06-20,0.00012835430190293458,6.967,80.767,1880.0,0.0,63
Nuwara Eliya Proper,2022-06-21,0.00012835430190293458,6.967,80.767,1880.0,0.0,60
Nuwara Eliya Proper,2022-06-22,0.00012835430190293458,6.967,80.767,1880.0,0.0,59
Nuwara Eliya Proper,2022-06-23,-1.107722612928122e-05,6.967,80.767,1880.0,0.0,61
Nuwara Eliya Proper,2022-06-24,-1.107722612928122e-05,6.967,80.767,1880.0,0.0,60
Nuwara Eliya Proper,2022-06-25,-1.107722612928122e-05,6.967,80.767,1880.0,0.1,61
Nuwara Eliya Proper,2022-06-26,-1.107722612928122e-05,6.967,80.767,1880.0,0.09,60
Nuwara Eliya Proper,2022-06-27,7.99317873770764e-05,6.967,80.767,1880.0,0.0,61
Nuwara Eliya Proper,2022-06-28,7.2669880131504e-05,6.967,80.767,1880.0,0.0,61
Nuwara Eliya Proper,2022-06-29,0.00010676240669081277,6.967,80.767,1880.0,0.0,62
Nuwara Eliya Proper,2022-06-30,2.683814639061548e-06,6.967,80.767,1880.0,0.12,60
Nuwara Eliya Proper,2022-07-01,2.683814639061548e-06,6.967,80.767,1880.0,0.0,63
Nuwara Eliya Proper,2022-07-02,2.683814639061548e-06,6.967,80.767,1880.0,0.02,63
Nuwara Eliya Proper,2022-07-03,2.683814639061548e-06,6.967,80.767,1880.0,0.15,60
Nuwara Eliya Proper,2022-07-04,2.683814639061548e-06,6.967,80.767,1880.0,0.68,60
Nuwara Eliya Proper,2022-07-05,2.683814639061548e-06,6.967,80.767,1880.0,1.27,58
Nuwara Eliya Proper,2022-07-06,2.683814639061548e-06,6.967,80.767,1880.0,0.08,59
Nuwara Eliya Proper,2022-07-07,2.683814639061548e-06,6.967,80.767,1880.0,0.17,60
Nuwara Eliya Proper,2022-07-08,2.683814639061548e-06,6.967,80.767,1880.0,0.12,61
Nuwara Eliya Proper,2022-07-09,2.683814639061548e-06,6.967,80.767,1880.0,0.07,59
Nuwara Eliya Proper,2022-07-10,2.683814639061548e-06,6.967,80.767,1880.0,0.16,58
Nuwara Eliya Proper,2022-07-11,2.683814639061548e-06,6.967,80.767,1880.0,1.28,58
Nuwara Eliya Proper,2022-07-12,2.683814639061548e-06,6.967,80.767,1880.0,0.01,58
Nuwara Eliya Proper,2022-07-16,0.00012474035717522096,6.967,80.767,1880.0,0.22,60
Nuwara Eliya Proper,2022-07-17,4.417425824336182e-05,6.967,80.767,1880.0,0.01,63
Nuwara Eliya Proper,2022-07-18,4.417425824336182e-05,6.967,80.767,1880.0,0.0,63
Nuwara Eliya Proper,2022-07-19,4.417425824336182e-05,6.967,80.767,1880.0,0.0,63
Nuwara Eliya Proper,2022-07-20,4.417425824336182e-05,6.967,80.767,1880.0,0.22,64
Nuwara Eliya Proper,2022-07-21,0.00011823335022148009,6.967,80.767,1880.0,0.18,62
Nuwara Eliya Proper,2022-07-22,0.00011823335022148009,6.967,80.767,1880.0,0.29,62
Nuwara Eliya Proper,2022-07-23,0.00011823335022148009,6.967,80.767,1880.0,0.25,60
Nuwara Eliya Proper,2022-07-24,0.00011823335022148009,6.967,80.767,1880.0,0.03,61
Nuwara Eliya Proper,2022-07-25,0.00011823335022148009,6.967,80.767,1880.0,0.0,63
Nuwara Eliya Proper,2022-07-26,8.16849287424404e-05,6.967,80.767,1880.0,0.69,62
Nuwara Eliya Proper,2022-07-27,0.00022030492561513998,6.967,80.767,1880.0,0.35,65
Nuwara Eliya Proper,2022-07-28,0.00022030492561513998,6.967,80.767,1880.0,0.18,60
Nuwara Eliya Proper,2022-07-29,0.00022030492561513998,6.967,80.767,1880.0,0.02,61
Nuwara Eliya Proper,2022-07-30,4.558054726912841e-05,6.967,80.767,1880.0,0.0,59
Nuwara Eliya Proper,2022-07-31,4.558054726912841e-05,6.967,80.767,1880.0,0.05,61
Nuwara Eliya Proper,2022-08-01,4.558054726912841e-05,6.967,80.767,1880.0,1.06,64
Nuwara Eliya Proper,2022-08-02,4.558054726912841e-05,6.967,80.767,1880.0,2.5,62
Nuwara Eliya Proper,2022-08-03,4.558054726912841e-05,6.967,80.767,1880.0,2.34,59
Nuwara Eliya Proper,2022-08-04,4.558054726912841e-05,6.967,80.767,1880.0,1.54,58
Nuwara Eliya Proper,2022-08-05,4.558054726912841e-05,6.967,80.767,1880.0,0.84,58
Nuwara Eliya Proper,2022-08-06,4.558054726912841e-05,6.967,80.767,1880.0,0.2,58
Nuwara Eliya Proper,2022-08-07,4.558054726912841e-05,6.967,80.767,1880.0,0.02,60
Nuwara Eliya Proper,2022-08-08,4.558054726912841e-05,6.967,80.767,1880.0,0.0,58
Nuwara Eliya Proper,2022-08-09,4.558054726912841e-05,6.967,80.767,1880.0,0.0,58
Nuwara Eliya Proper,2022-08-10,3.9732175010272264e-05,6.967,80.767,1880.0,0.0,61
Nuwara Eliya Proper,2022-08-11,2.9245615609722014e-05,6.967,80.767,1880.0,0.0,62
Nuwara Eliya Proper,2022-08-12,9.623270204312524e-05,6.967,80.767,1880.0,0.0,61
Nuwara Eliya Proper,2022-08-13,9.623270204312524e-05,6.967,80.767,1880.0,0.0,63
Nuwara Eliya Proper,2022-08-14,9.623270204312524e-05,6.967,80.767,1880.0,0.0,62
Nuwara Eliya Proper,2022-08-15,9.623270204312524e-05,6.967,80.767,1880.0,0.0,61
Nuwara Eliya Proper,2022-08-16,9.623270204312524e-05,6.967,80.767,1880.0,0.0,62
Nuwara Eliya Proper,2022-08-17,9.623270204312524e-05,6.967,80.767,1880.0,0.06,63
